Time,Amplitude,Frequency
0.0,0.027799656409885787,Theta
0.0039078131252501,0.1886015927892897,Alpha
0.0078156262505002,0.33024779918216696,Theta
0.0117234393757503,0.5116715783168522,Alpha
0.0156312525010004,0.5960901666872515,Theta
0.019539065626250497,0.8447533941358362,Alpha
0.0234468787515006,0.781683301127564,Theta
0.0273546918767507,0.8056535294694409,Alpha
0.0312625050020008,0.9379918882225565,Theta
0.035170318127250896,0.894752509994036,Alpha
0.039078131252500994,0.858757259453214,Theta
0.0429859443777511,0.7193062659185917,Alpha
0.0468937575030012,0.6970072031423058,Theta
0.050801570628251295,0.5561004412094392,Alpha
0.0547093837535014,0.4917381165370395,Theta
0.0586171968787515,0.3007515441928303,Alpha
0.0625250100040016,0.1513629208086105,Theta
0.0664328231292517,-0.10369057163869884,Alpha
0.07034063625450179,-0.0730854291627068,Theta
0.07424844937975189,-0.12891732282846455,Alpha
0.07815626250500199,-0.44585440303788965,Theta
0.0820640756302521,-0.4197139276824916,Alpha
0.0859718887555022,-0.49524910060836835,Theta
0.0898797018807523,-0.5313908210711807,Alpha
0.0937875150060024,-0.6700033679224264,Theta
0.09769532813125249,-0.6167542078839817,Alpha
0.10160314125650259,-0.5436168431368452,Theta
0.10551095438175269,-0.6469070720736109,Alpha
0.1094187675070028,-0.46742954799874026,Theta
0.1133265806322529,-0.41214183275677624,Alpha
0.117234393757503,-0.39486923457279843,Theta
0.1211422068827531,-0.1364583727104094,Alpha
0.1250500200080032,-0.12648747397675286,Theta
0.1289578331332533,-0.09392240750002151,Alpha
0.1328656462585034,-0.06906105543825954,Theta
0.1367734593837535,0.00364658641432742,Alpha
0.14068127250900359,0.10599215810388389,Theta
0.14458908563425368,0.09990891172853258,Alpha
0.14849689875950378,0.16805046974293136,Theta
0.15240471188475388,0.23140360476472144,Alpha
0.15631252501000398,0.17160104827830802,Theta
0.1602203381352541,0.19772927576787003,Alpha
0.1641281512605042,0.1040477467025549,Theta
0.1680359643857543,0.08633473685926868,Alpha
0.1719437775110044,0.15851727234539675,Theta
0.1758515906362545,0.0977925218154687,Alpha
0.1797594037615046,0.05514077900177741,Theta
0.1836672168867547,0.03328245378390315,Alpha
0.1875750300120048,-0.0385990040494886,Theta
0.1914828431372549,-0.05934093791362689,Alpha
0.19539065626250499,0.018792281427300946,Theta
0.19929846938775508,0.01740011477130638,Alpha
0.20320628251300518,-0.013977795610311275,Theta
0.20711409563825528,0.04989565637835363,Alpha
0.21102190876350538,0.07229821536400625,Theta
0.21492972188875548,0.18451216271695062,Alpha
0.2188375350140056,0.2073247766669024,Theta
0.2227453481392557,0.3376921777540821,Alpha
0.2266531612645058,0.36296723744757875,Theta
0.2305609743897559,0.34872506028895195,Alpha
0.234468787515006,0.2866728853400427,Theta
0.2383766006402561,0.40925858163357065,Alpha
0.2422844137655062,0.41574657726818703,Theta
0.2461922268907563,0.3979886211370307,Alpha
0.2501000400160064,0.30363086325199584,Theta
0.2540078531412565,0.2964360609204712,Alpha
0.2579156662665066,0.30446927255486456,Theta
0.2618234793917567,0.19931093746394163,Alpha
0.2657312925170068,0.029186751653513802,Theta
0.2696391056422569,-0.030371572847170777,Alpha
0.273546918767507,-0.22084615667813423,Theta
0.2774547318927571,-0.2538390526538599,Alpha
0.28136254501800717,-0.4986814096854271,Theta
0.2852703581432573,-0.5658271574444673,Alpha
0.28917817126850737,-0.6180652269297674,Theta
0.2930859843937575,-0.6374987013448393,Alpha
0.29699379751900756,-0.7690735910758548,Theta
0.3009016106442577,-0.8743222892053386,Alpha
0.30480942376950776,-0.798117035698056,Theta
0.3087172368947579,-0.7948418695126656,Alpha
0.31262505002000796,-0.7409318665783757,Theta
0.3165328631452581,-0.6638951536121465,Alpha
0.3204406762705082,-0.44508875826793404,Theta
0.3243484893957583,-0.3803652704768025,Alpha
0.3282563025210084,-0.13228607914692603,Theta
0.3321641156462585,-0.08068490194059423,Alpha
0.3360719287715086,0.1174502188576972,Theta
0.33997974189675867,0.2639342052159922,Alpha
0.3438875550220088,0.36742969574160644,Theta
0.34779536814725887,0.5644486419257588,Alpha
0.351703181272509,0.6500907132250043,Theta
0.35561099439775906,0.7347077854928626,Alpha
0.3595188075230092,0.866216604965837,Theta
0.36342662064825926,0.9153835942942143,Alpha
0.3673344337735094,0.935318039596596,Theta
0.37124224689875945,0.9066831937859591,Alpha
0.3751500600240096,0.7744571401118112,Theta
0.3790578731492597,0.7981427895939334,Alpha
0.3829656862745098,0.564447425237645,Theta
0.3868734993997599,0.5948628578583679,Alpha
0.39078131252500997,0.4854166344905996,Theta
0.3946891256502601,0.19400478827540768,Alpha
0.39859693877551017,0.13259510250978357,Theta
0.4025047519007603,-0.08625191522068155,Alpha
0.40641256502601036,-0.22394751806721863,Theta
0.4103203781512605,-0.35004889698553365,Alpha
0.41422819127651056,-0.4880438058307857,Theta
0.4181360044017607,-0.6455331583557937,Alpha
0.42204381752701076,-0.6177926938287042,Theta
0.4259516306522609,-0.7699007743478483,Alpha
0.42985944377751095,-0.7442095557970035,Theta
0.4337672569027611,-0.7842539082520953,Alpha
0.4376750700280112,-0.8010882217972974,Theta
0.4415828831532613,-0.6235475894261273,Alpha
0.4454906962785114,-0.5988090501943109,Theta
0.44939850940376147,-0.5897143732097309,Alpha
0.4533063225290116,-0.4598375458770034,Theta
0.45721413565426167,-0.28159987275577936,Alpha
0.4611219487795118,-0.1837074463487232,Theta
0.46502976190476186,-0.043236560782717655,Alpha
0.468937575030012,0.008409898220709297,Theta
0.47284538815526206,0.12363261495619884,Alpha
0.4767532012805122,0.19658497170128755,Theta
0.48066101440576225,0.2899480938801986,Alpha
0.4845688275310124,0.30021368956147754,Theta
0.48847664065626245,0.32395202084727603,Alpha
0.4923844537815126,0.38314025017899844,Theta
0.49629226690676265,0.38676401252394127,Alpha
0.5002000800320128,0.38313628292225904,Theta
0.5041078931572629,0.38787984603858006,Alpha
0.508015706282513,0.2773346637198535,Theta
0.511923519407763,0.25782915345855106,Alpha
0.5158313325330132,0.19600914840215844,Theta
0.5197391456582633,0.1983506476957161,Alpha
0.5236469587835134,0.08263800914203018,Theta
0.5275547719087634,0.05422444399275904,Alpha
0.5314625850340136,0.02258483631606847,Theta
0.5353703981592637,0.034920677378425295,Alpha
0.5392782112845138,0.004693774207261709,Theta
